Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,SSLfinal
www.geocities.com,0,0,"/eddie_monsoon2002/
",0,http,0,0,0,0,0,2,0,0,0,0,0,1
www.shokushu.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,2,1
www.geocities.com,0,0,"/timessquare/arcade/7810/p_hgames.htm
",0,http,0,2,2,2,0,2,0,0,0,0,0,1
www.hentaisocialclub.com,0,0,"/ganguro/index.html
",0,http,0,2,0,0,0,1,0,0,0,0,2,1
ryogamasaki.netfirms.com,0,0,"/
",0,http,0,0,0,0,0,0,0,0,1,0,0,1
members.tripod.com,0,0,"/~chaz16/3.html
",0,http,0,2,0,0,0,1,0,0,0,0,2,1
www.hentai-comics.com,0,0,"/
",1,http,0,0,0,2,0,2,0,0,0,0,1,1
www.jastusa.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,2,1
www.peachprincess.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,2,1
"www.g-collections.com
",0,0,,1,http,0,0,0,1,0,1,0,0,1,0,1,1
www.hentai-games.com,0,0,"/
",1,http,0,0,0,0,0,1,0,0,0,0,1,1
"www.canadahentai.com
",0,0,,0,http,0,0,0,1,0,1,0,0,1,0,1,1
"www.hirameki-int.com
",0,0,,1,http,0,0,0,1,0,1,0,0,1,1,1,1
www.himeyashop.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.jlist.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,1,0,1
www.clubspooey.com,0,0,"/spooey/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
"www.hentaigamer.com
",0,0,,0,http,0,0,0,1,0,1,0,0,1,0,1,1
"www.pcrdist.com
",0,0,,0,http,0,0,0,1,0,1,0,0,1,1,1,1
www.densetsu.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.animetric.com,0,0,"/bgames.html
",0,http,0,2,0,0,0,1,0,0,0,0,2,1
www.jmate.com,0,0,"/home.html
",0,http,0,2,0,0,0,1,0,0,0,0,1,1
www.three-musketeers.net,0,0,"/mike/animeopinions.html
",1,http,0,2,2,2,0,2,0,0,0,0,1,1
"engbishoujo.tripod.com
",0,0,,0,http,0,0,0,1,0,1,0,0,1,0,1,1
www.somethingawful.com,0,0,"/hentai/
",0,http,0,0,0,0,0,0,0,0,0,0,0,1
www.geocities.com,0,0,"/aetus_kane/reviews.html
",0,http,0,2,0,2,0,2,0,0,0,0,0,1
"www.hentaigameszone.com
",0,0,,0,http,0,0,0,1,0,1,0,0,1,0,1,1
www.hentaineko.com,0,0,"/html_peekv/peek_vgames.shtml
",0,http,0,2,2,0,0,1,0,0,0,0,2,1
www.asahi-net.or.jp,0,0,"/~uz9y-ab/yaoicomic.htm
",1,http,0,1,0,1,0,1,0,0,0,0,0,1
www.geocities.com,0,0,"/tokyo/villa/9953/yaoimain.html
",0,http,0,2,2,2,0,2,0,0,0,0,0,1
www.commonastherain.com,0,0,"/eros.html
",0,http,0,2,0,2,0,1,0,0,0,0,1,1
www.angelfire.com,0,0,"/anime3/hoshinokaze/
",0,http,0,0,0,0,0,1,0,0,0,0,0,1
www.discarnate.com,0,0,"/boysnextdoor/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.geocities.com,0,0,"/spirestudio/index.htm
",0,http,0,2,0,0,0,2,0,0,0,0,0,1
www.angelfire.com,0,0,"/me3/mandaplay/index.html
",0,http,0,2,0,0,0,1,0,0,0,0,0,1
www.geocities.com,0,0,"/tokyo/courtyard/9155/carosmen.htm
",0,http,0,2,2,2,0,2,0,0,0,0,0,1
members.tripod.com,0,0,"/~cheekokr/enter.html
",0,http,0,2,0,0,0,1,0,0,0,0,2,1
www.aoihayashi.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.geocities.com,0,0,"/shinji_is_my_man/
",0,http,0,0,0,2,0,2,0,0,0,0,0,1
www.cruelangel.net,0,0,"/divinitas/
",0,http,0,0,0,1,1,1,0,0,1,0,1,1
death_of_ase.tripod.com,0,0,"/dt/twisteddesire.html
",0,http,0,2,0,0,0,1,0,0,0,0,1,1
www.orchidveil.net,0,0,"/trapdoor/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.geocities.com,0,0,"/roryheadmav/main.html
",0,http,0,2,0,2,0,2,0,0,0,0,0,1
www.angelfire.com,0,0,"/anime4/wildefyre/
",0,http,0,0,0,0,0,1,0,0,0,0,0,1
"www.yaoiluvr.net
",0,0,,0,http,0,0,0,1,0,1,0,0,1,0,1,1
www.angelfire.com,0,0,"/goth2/azrael/
",0,http,0,0,0,0,0,1,0,0,0,0,0,1
m.webring.com,0,0,/hub,0,http,0,0,0,0,0,0,0,0,1,0,2,1
onami.free.fr,0,0,"/
",0,http,0,0,0,0,0,0,0,0,0,0,1,1
www.geocities.com,0,0,"/obsidianblaze/
",0,http,0,0,0,2,0,2,0,0,0,0,0,1
p080.ezboard.com,0,0,"/badragonballyaoirpg
",0,http,0,0,0,0,0,0,0,0,1,0,1,1
www.pureyaoi.org,0,0,"/
",0,http,0,0,0,1,0,1,0,0,1,0,1,1
"www.gaytoon-japan.com
",0,0,,1,http,0,0,0,1,0,1,0,0,1,0,1,1
www.clubclassic.net,0,0,"/yaoi.html
",0,http,0,2,0,0,0,1,0,0,0,0,1,1
www.geocities.com,0,0,"/apple_toh/index.html
",0,http,0,2,0,0,0,2,0,0,0,0,0,1
www.gongaga.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.angelfire.com,0,0,"/goth/doujinshi_rapture/
",0,http,0,0,0,0,0,1,0,0,0,0,0,1
geocities.com,0,0,"/plugplaymanga/
",0,http,0,0,0,2,0,2,0,0,0,0,0,1
www.kinu-sekigushi.com,0,0,"/
",1,http,0,0,0,0,0,1,0,0,0,0,1,1
www.geocities.com,0,0,"/can_it_be_sin/index_2.html
",0,http,0,2,0,2,0,2,0,0,0,0,0,1
community.livejournal.com,0,0,"/jrockyaoi/
",0,http,0,0,0,2,0,2,0,0,0,0,2,1
arachnoid.reverie-noire.com,0,0,"/
",1,http,0,0,0,1,1,1,0,0,1,0,1,1
totchi.tripod.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
home.arcor.de,0,0,"/jrock-yaoi/index2.htm
",0,http,0,2,0,1,0,1,0,0,0,0,0,1
www.dtwins.co.uk,0,0,"/jfic/efiction30/index.php
",0,http,0,1,0,0,0,1,0,0,0,0,2,1
members.tripod.com,0,0,"/starchan/
",0,http,0,0,0,0,0,1,0,0,0,0,2,1
www.geocities.com,0,0,"/hushie_hush/
",0,http,0,0,0,1,1,2,0,0,0,0,0,1
www.cursedmoons.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.worldshaking.net,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.shoujoai.com,0,0,"/
",0,http,0,0,0,0,0,1,0,0,0,0,1,1
www.angelfire.com,0,0,"/anime2/yurifics/index.html
",0,http,0,2,0,0,0,1,0,0,0,0,0,1
groups.yahoo.com,0,0,"/group/lilypetalsandfallendewdrops/
",0,http,0,0,2,2,0,2,0,0,0,0,0,1
www.privateholes.com,0,0,"/anime/anime-sex/index6.html
",0,http,0,2,2,2,0,2,0,0,0,0,1,1
www.privateholes.com,0,0,"/anime/anime-asia/index6.html
",0,http,0,2,2,1,0,2,0,0,0,0,1,1
